Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,external_id,geographic_location_(region_and_locality),INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,specimen_voucher,SRA Study,Submitter_Id,ENA_first_public,ENA_last_update,INSDC_center_alias,variety,ENA-FIRST-PUBLIC,ENA-LAST-UPDATE,Scientific_Name
ERR6064671,RAD-Seq,94,101373992,PRJEB39114,SAMEA8113371,49550785,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",2021-07-08,2021-07-08,ERX5703539,SAMEA8113371,"Region IV\, Coquimbo\, Tongoy",Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Eulychnia castanea,ILLUMINA,2021-07-08T00:00:00Z,2021-07-14T06:31:00Z,1,SAMEA8113371,ED5136,F.F.Merklinger 2019-3,ERP122593,ED5136,,,,,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,Eulychnia castanea
ERR6064672,RAD-Seq,95,110061362,PRJEB39114,SAMEA8113351,53551866,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"fastq,run.zq,sra","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",2021-07-08,2021-07-08,ERX5703540,SAMEA8113351,"Region IV\, Coquimbo\, Cuesta Buenos Aires",Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Eulychnia acida,ILLUMINA,2021-07-08T00:00:00Z,2021-07-14T06:31:00Z,1,SAMEA8113351,ED5137,F.F.Merklinger 2019-5,ERP122593,ED5137,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,,,,
ERR6064673,RAD-Seq,91,169337047,PRJEB39114,SAMEA8113350,83276246,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"sra,run.zq,fastq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",2021-07-08,2021-07-08,ERX5703541,SAMEA8113350,"Region IV\, Coquimbo\, quebrada Los Choros",Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Eulychnia acida,ILLUMINA,2021-07-08T00:00:00Z,2021-07-14T06:42:00Z,1,SAMEA8113350,ED5138,F.F.Merklinger 2019-6,ERP122593,ED5138,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,,,,
ERR6064675,RAD-Seq,93,144692187,PRJEB39114,SAMEA8113356,71119284,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",2021-07-08,2021-07-08,ERX5703543,SAMEA8113356,"Region IV\, Coquimbo\, Llano Choros",Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Eulychnia acida var. procumbens,ILLUMINA,2021-07-08T00:00:00Z,2021-07-14T06:42:00Z,1,SAMEA8113356,ED5139,F.F.Merklinger 2019-7,ERP122593,ED5139,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,procumbens,,,
ERR6064676,RAD-Seq,92,158793641,PRJEB39114,SAMEA8113358,77762370,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"sra,fastq,run.zq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",2021-07-08,2021-07-08,ERX5703544,SAMEA8113358,"Region III\, Atacama\, Domeyko-Freirina",Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Eulychnia acida var. procumbens,ILLUMINA,2021-07-08T00:00:00Z,2021-07-14T06:31:00Z,1,SAMEA8113358,ED5140,F.F.Merklinger 2019-8,ERP122593,ED5140,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,procumbens,,,
ERR6064677,RAD-Seq,97,62750807,PRJEB39114,SAMEA8113365,30452843,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"sra,run.zq,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",2021-07-08,2021-07-08,ERX5703545,SAMEA8113365,"Region IV\, Coquimbo\, Tres Playitas",Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Eulychnia breviflora,ILLUMINA,2021-07-08T00:00:00Z,2021-07-15T06:53:00Z,1,SAMEA8113365,ED5141,F.F.Merklinger 2019-9,ERP122593,ED5141,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,,,,
ERR6064678,RAD-Seq,97,72108242,PRJEB39114,SAMEA8113366,35062081,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"run.zq,fastq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2021-07-08,2021-07-08,ERX5703546,SAMEA8113366,"Region III\, Atacama\, Carrizal Bajo",Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Eulychnia breviflora,ILLUMINA,2021-07-08T00:00:00Z,2021-07-14T06:31:00Z,1,SAMEA8113366,ED5142,F.F.Merklinger 2019-10,ERP122593,ED5142,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,,,,
ERR6064679,RAD-Seq,94,143269185,PRJEB39114,SAMEA8113352,70452771,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",2021-07-08,2021-07-08,ERX5703547,SAMEA8113352,"Region III\, Atacama\, Canto del Agua",Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Eulychnia acida var. elata,ILLUMINA,2021-07-08T00:00:00Z,2021-07-14T06:42:00Z,1,SAMEA8113352,ED5143,F.F.Merklinger 2019-11,ERP122593,ED5143,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,elata,,,
ERR6064680,RAD-Seq,98,174075902,PRJEB39114,SAMEA8113363,84965988,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",2021-07-08,2021-07-08,ERX5703548,SAMEA8113363,"Region III\, Atacama\, Quebrada Copiapó",Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Eulychnia breviflora,ILLUMINA,2021-07-08T00:00:00Z,2021-07-14T06:31:00Z,1,SAMEA8113363,ED5144,F.F.Merklinger 2019-12,ERP122593,ED5144,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,,,,
ERR6064681,RAD-Seq,98,87145935,PRJEB39114,SAMEA8113367,42325526,NEES INSITUTE FOR BIODIVERSITY OF PLANTS,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",2021-07-08,2021-07-08,ERX5703549,SAMEA8113367,"Region III\, Atacama\, El Morro",Nees Insitute for Biodiversity of Plants,2021-07-08T12:21:42Z,2021-07-08T12:21:42Z,public,unspecified,SINGLE,Restriction Digest,GENOMIC,Eulychnia breviflora var. tenuis,ILLUMINA,2021-07-08T00:00:00Z,2021-07-14T06:31:00Z,1,SAMEA8113367,ED5145,F.F.Merklinger 2019-13,ERP122593,ED5145,2021-07-08,2021-07-08,Nees Insitute for Biodiversity of Plants,tenuis,,,
