Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),INSDC_center_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,STACKS,Platform,ReleaseDate,create_date,version,Sample Name,Sample_name,scientific_name,SRA Study,Submitter_Id,ENA_first_public,INSDC_status,sub_species
ERR14108402,RAD-Seq,66,169269759,PRJEB79940,SAMEA117576387,71288985,NEES INSTITUTE,2013-01-14,public,"sra,fastq,run.zq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",2025-03-11,2025-03-11,ERX13510899,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus diamantinus,DIAM,ILLUMINA,2025-03-12T00:00:00Z,2025-03-17T21:50:00Z,1,SAMEA117576387,W6119,Austrocactus diamantinus,ERP164019,W6119,,,
ERR14108403,RAD-Seq,66,113172658,PRJEB79940,SAMEA117576388,47418601,NEES INSTITUTE,2013-01-07,public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",2025-03-11,2025-03-11,ERX13510900,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus elegans,ELEG,ILLUMINA,2025-03-12T00:00:00Z,2025-03-17T21:49:00Z,1,SAMEA117576388,W5861,Austrocactus elegans,ERP164019,W5861,,,
ERR14108404,RAD-Seq,68,111172823,PRJEB79940,SAMEA117576389,46518139,NEES INSTITUTE,2014-01-02,public,"sra,run.zq,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",2025-03-11,2025-03-11,ERX13510901,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus elegans,ELEG,ILLUMINA,2025-03-12T00:00:00Z,2025-03-16T15:17:00Z,1,SAMEA117576389,W5864,Austrocactus elegans,ERP164019,W5864,,,
ERR14108405,RAD-Seq,66,111932782,PRJEB79940,SAMEA117576390,46826127,NEES INSTITUTE,2008-01-07,public,"sra,fastq,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",2025-03-11,2025-03-11,ERX13510902,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus ferrarii,FERRA,ILLUMINA,2025-03-12T00:00:00Z,2025-03-16T05:25:00Z,1,SAMEA117576390,W5865,Austrocactus ferrarii,ERP164019,W5865,,,
ERR14108406,RAD-Seq,66,107590929,PRJEB79940,SAMEA117576391,45108810,NEES INSTITUTE,2008-01-03,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",2025-03-11,2025-03-11,ERX13510903,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus hibernus subsp. hibernus,HIBEhi,ILLUMINA,2025-03-12T00:00:00Z,2025-03-16T15:16:00Z,1,SAMEA117576391,W5884,Austrocactus hibernus subsp. hibernus,ERP164019,W5884,,,hibernus
ERR14108407,RAD-Seq,67,112452064,PRJEB79940,SAMEA117576392,46931059,NEES INSTITUTE,2009-12-18,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",2025-03-11,2025-03-11,ERX13510904,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus hibernus subsp. robustior,HIBEro,ILLUMINA,2025-03-12T00:00:00Z,2025-03-15T23:20:00Z,1,SAMEA117576392,W5878,Austrocactus hibernus subsp. robustior,ERP164019,W5878,,,robustior
ERR14108408,RAD-Seq,66,96406949,PRJEB79940,SAMEA117576393,40690599,NEES INSTITUTE,2014-01-31,public,"fastq,run.zq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",2025-03-11,2025-03-11,ERX13510905,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus hibernus subsp. robustior,HIBEro,ILLUMINA,2025-03-12T00:00:00Z,2025-03-17T05:52:00Z,1,SAMEA117576393,W5883,Austrocactus hibernus subsp. robustior,ERP164019,W5883,,,robustior
ERR14108409,RAD-Seq,68,129600446,PRJEB79940,SAMEA117576394,54027790,NEES INSTITUTE,2013-01-10,public,"fastq,run.zq,sra","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",2025-03-11,2025-03-11,ERX13510906,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus implexus,IMPLE,ILLUMINA,2025-03-12T00:00:00Z,2025-03-16T00:46:00Z,1,SAMEA117576394,W5871,Austrocactus implexus,ERP164019,W5871,,,
ERR14108410,RAD-Seq,67,99171110,PRJEB79940,SAMEA117576395,42155327,NEES INSTITUTE,2013-01-10,public,"sra,fastq,run.zq","s3,gs,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",2025-03-11,2025-03-11,ERX13510907,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus implexus,IMPLE,ILLUMINA,2025-03-12T00:00:00Z,2025-03-17T21:50:00Z,1,SAMEA117576395,W5892,Austrocactus implexus,ERP164019,W5892,,,
ERR14108411,RAD-Seq,68,103251814,PRJEB79940,SAMEA117576396,43142240,NEES INSTITUTE,2009-01-05,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",2025-03-11,2025-03-11,ERX13510908,Argentina,South America,Argentina,Nees Institute,Illumina NovaSeq 6000,,SINGLE,Restriction Digest,GENOMIC,Austrocactus longicarpus,LONG,ILLUMINA,2025-03-12T00:00:00Z,2025-03-16T11:50:00Z,1,SAMEA117576396,W5862,Austrocactus longicarpus,ERP164019,W5862,,,
